"source","url","title","sentiment_score","word_count","avg_sentiment"
"Capitol Hill Seattle","https://www.capitolhillseattle.com/2025/02/not-every-executive-order-is-terrible-mayor-issues-order-hoped-to-speed-construction-of-light-rail-to-west-seattle-ballard/","CHS Capitol Hill Seattle News Not every executive order is terrible — Mayor issues order hoped to speed construction of light rail to West Seattle, Ballard LATEST CHS SUBSCRIBER TOTAL: 1,236",12,18,0.666666666666667
"Capitol Hill Seattle","https://www.capitolhillseattle.com/2025/03/a-welcoming-city-seattle-mayors-praise-for-musk-city-attorney-joins-trump-lawsuit-savage-campaign-goes-maga/","CHS Capitol Hill Seattle News A ‘Welcoming City’ — Seattle mayor’s praise for Musk, City Attorney joins Trump lawsuit, Savage campaign goes MAGA LATEST CHS SUBSCRIBER TOTAL: 1,236",19,33,0.575757575757576
"Capitol Hill Seattle","https://www.capitolhillseattle.com/2025/03/kuow-details-mayor-bruce-harrells-1996-gun-arrest/","CHS Capitol Hill Seattle News KUOW details Mayor Bruce Harrell’s 1996 gun arrest LATEST CHS SUBSCRIBER TOTAL: 1,236",-28,27,-1.03703703703704
"Capitol Hill Seattle","https://www.capitolhillseattle.com/2025/04/toxic-politics-supportive-housing-project-targeted-by-capitol-hill-mayoral-candidate-in-line-for-state-cleanup/","CHS Capitol Hill Seattle News Toxic politics? ‘Supportive housing’ project targeted by Capitol Hill mayoral candidate in line for state cleanup LATEST CHS SUBSCRIBER TOTAL: 1,236",17,39,0.435897435897436
"Capitol Hill Seattle","https://www.capitolhillseattle.com/2025/04/with-time-running-out-for-seattle-mayor-race-challengers-to-emerge-harrell-touts-continued-turnaround-in-police-hiring/","CHS Capitol Hill Seattle News With time running out for Seattle mayor race challengers to jump in, Harrell touts continued turnaround in police hiring LATEST CHS SUBSCRIBER TOTAL: 1,236",2,40,0.05
"Capitol Hill Seattle","https://www.capitolhillseattle.com/2025/05/seattle-police-clear-sunbathers-at-denny-blaine-park/","CHS Capitol Hill Seattle News Seattle Police clear sunbathers at Denny Blaine Park — UPDATE: Mayor, Hollingsworth respond LATEST CHS SUBSCRIBER TOTAL: 1,236",5,43,0.116279069767442
"Capitol Hill Seattle","https://www.capitolhillseattle.com/2025/05/these-27-people-want-to-run-seattle-plus-why-rachael-savage-is-now-running-for-city-council-not-mayor/","CHS Capitol Hill Seattle News These 27 people want to run Seattle — Plus, why Rachael Savage is now running for City Council, not mayor LATEST CHS SUBSCRIBER TOTAL: 1,236",2,6,0.333333333333333
"Capitol Hill Seattle","https://www.capitolhillseattle.com/2025/07/at-district-3-candidates-forum-wilson-scores-points-harrell-avoids-hits-in-race-in-seattle-mayors-race/","CHS Capitol Hill Seattle News At District 3 candidates forum, Wilson scores points, Harrell avoids hits in Seattle mayor’s race LATEST CHS SUBSCRIBER TOTAL: 1,236",6,26,0.230769230769231
"Capitol Hill Seattle","https://www.capitolhillseattle.com/2025/07/mayor-proposes-adding-spd-surveillance-cameras-around-pike-pine-garfield-high-school/","CHS Capitol Hill Seattle News Mayor proposes adding SPD surveillance cameras around Pike/Pine, Garfield High School LATEST CHS SUBSCRIBER TOTAL: 1,236",-4,60,-0.0666666666666667
"Capitol Hill Seattle","https://www.capitolhillseattle.com/2025/07/mayor-touts-seattle-police-recruitment-moving-past-100-new-hires-so-far-in-2025/","CHS Capitol Hill Seattle News Mayor touts Seattle Police recruitment moving past 100 new hires so far in 2025 LATEST CHS SUBSCRIBER TOTAL: 1,236",-3,17,-0.176470588235294
"KING 5","https://www.king5.com/article/news/crime/man-arrested-victim-dies-shooting-northgate/281-a8f25382-1bb9-4c81-93d2-31eb123becc9","Man arrested after victim dies from shooting at Northgate Transit Center",-12,4,-3
"KING 5","https://www.king5.com/article/news/crime/man-killed-shooting-near-uw-campus-suspect-fled/281-8bac91fc-892d-427a-b852-931590e3479b","Suspect intentionally guns down young father outside church near UW, witnesses and police say",-4,3,-1.33333333333333
"KING 5","https://www.king5.com/article/news/crime/man-shot-in-chest-along-seattle-waterfront/281-7f8588ce-de76-4dd9-b034-9f1a96b16931","Man shot in chest at Seattle waterfront; suspect in custody",-2,3,-0.666666666666667
"KING 5","https://www.king5.com/article/news/crime/reward-for-information-mt-baker-columbia-city-seattle-arsons/281-01fe615e-ecb0-499f-9960-857f6531b504","'There is an arsonist in our midst' | Four arsons in Seattle neighborhoods over the last week",-5,3,-1.66666666666667
"KING 5","https://www.king5.com/article/news/crime/suspect-lummi-officers-charged-attempted-murder/281-8aa79623-8aae-4be5-b6df-a6181c2be4ca","Suspect in Lummi officer's shooting charged with attempted murder",-4,4,-1
"KING 5","https://www.king5.com/article/news/crime/third-suspect-arrested-2022-everett-home-invasion-homicide/281-ad7ebb42-b863-43dd-b562-b6b9ec1cc962","Third suspect arrested in 2022 home invasion, killing in Everett",-10,4,-2.5
"KING 5","https://www.king5.com/article/news/local/boy-hospitalized-pierce-county-water-rescue/281-79ae5db7-2940-4b21-ac27-8c4fa74b56f9","5-year-old boy dies in Pierce County paddleboarding accident",-2,1,-2
"KING 5","https://www.king5.com/article/news/local/cellphone-app-firefighter-save-life-burlington-costco/281-9535643c-91b4-436a-8179-3230c42a86b2","Cellphone app helps off-duty firefighter save man's life at Burlington Costco",8,4,2
"KING 5","https://www.king5.com/article/news/local/chelan-county-deputies-search-for-travis-decker-during-swift-water-training-icicle-creek/281-c34656aa-0b57-40c1-8c5a-b01b379977e3","Search for Travis Decker continues amid swift water training",-3,5,-0.6
"KING 5","https://www.king5.com/article/news/local/city-lawsuit-trump-orders-dei-gender-identity-rights/281-78c21f07-84d9-4a0e-af16-326ccd1c88d3","City lawsuit challenges Trump orders limiting DEI and gender identity rights",-4,2,-2
"KING 5","https://www.king5.com/article/news/local/dallas-native-shacarri-richardson-arrested-for-alleged-domestic-violence-in-seattle/287-5b3442c0-42fd-4f57-9a50-dec4da724092","Olympic gold medalist Sha’Carri Richardson arrested in Seattle for alleged domestic violence",-6,2,-3
"KING 5","https://www.king5.com/article/news/local/former-hard-rock-new-theater-project/281-81188aac-ef9f-41c1-b0d9-0615aa81b252","Former Hard Rock Café building eyed for new theater project",-2,2,-1
"KING 5","https://www.king5.com/article/news/local/gardening-program-young-offenders-seeds-of-change/281-6154122e-c67a-44fc-ada1-b12610d59c72","Gardening program gives young offenders 'Seeds of Change'",1,2,0.5
"KING 5","https://www.king5.com/article/news/local/ice-arrests-washington-spike-june/281-6dcf2444-8119-4a88-b204-fa5df246d12b","ICE arrests in Washington spike in June",-2,1,-2
"KING 5","https://www.king5.com/article/news/local/jury-to-deliberate-case-of-fatal-shooting-outside-spanaway-7-eleven/281-e5641e39-f87e-4141-930f-3515bf5e95c8","Jury deliberates fate of self-represented murder suspect in Tacoma",-8,4,-2
"KING 5","https://www.king5.com/article/news/local/on-the-record/retired-gen-barry-mccaffrey-life-service-sacrifice/281-2cab60e8-8fe5-4ca7-8396-e35a17f38c77","Retired Gen. Barry McCaffrey reflects on life of service, sacrifice",-1,1,-1
"KING 5","https://www.king5.com/article/news/local/rep-emily-randall-ice-tacoma/281-df4d1df5-9c73-48d4-8e29-14560d220e8e","Rep. Emily Randall raises concerns after ICE facility visit in Tacoma",3,2,1.5
"KING 5","https://www.king5.com/article/news/local/seattle-magnuson-gas-works-park-safety/281-87b1464c-3320-4c83-b977-5d6edb108682","Seattle cracks down on after-hours parties at Magnuson, Gas Works parks",-1,1,-1
"KING 5","https://www.king5.com/article/news/local/seattle-police-chief-targets-sex-trafficking-irresponsible-business-owners/281-5371b7fd-06ec-45b7-ab28-03a99bb81772","Six months in, Seattle police chief targets sex trafficking and 'irresponsible' business owners",0,4,0
"KING 5","https://www.king5.com/article/news/local/seattle/crowds-pack-seattle-waterfront-busy-night-projects-completion/281-736405a0-b150-400a-ad65-1869503352e7","Despite shooting, crowds pack Seattle Waterfront on first busy night after project's completion",-2,1,-2
"KING 5","https://www.king5.com/article/news/local/seattle/driver-killed-car-vs-fire-track-collision-seattle/281-4eeea496-4159-4092-80e0-f4f8a3f9510c","Driver killed in Seattle fire truck collision",-11,5,-2.2
"KING 5","https://www.king5.com/article/news/local/seattle/massive-fire-seattles-beacon-hill/281-85703746-7747-4a29-b58f-0e4c6a5dcf9a","'Massive fire': Flames break out at home in Seattle's Beacon Hill neighborhood",-2,3,-0.666666666666667
"KING 5","https://www.king5.com/article/news/local/seattle/seattle-police-officer-crash/281-fd36ef4c-46ec-407b-b456-22ad13f198d5","Seattle police officer ran red light before t-bone crash, Uber driver, passenger say",-4,2,-2
"KING 5","https://www.king5.com/article/news/local/senator-patty-murray-business-leaders-slam-new-trump-tariffs/283-ce28182f-45df-40bb-b8ef-038a6ccf68f1","'No good reason': Washington Sen. Murray, business leaders slam Trump tariffs",-3,2,-1.5
"KING 5","https://www.king5.com/article/news/local/shooting-seattle-church-camera/281-6e27b70f-e0a2-4f15-92cd-8559983df993","'Horrendous, evil, wicked' shooting outside Seattle church caught on camera",-11,4,-2.75
"KING 5","https://www.king5.com/article/news/local/snohomish-county-k9-helps-catch-two-domestic-violence-suspects-three-days/281-e942a94d-1e5a-4ec3-b67b-d9b8c01f74ff","Snohomish County K-9 helps catch two domestic violence suspects in three days",0,5,0
"KING 5","https://www.king5.com/article/news/local/tsunami-alerts-sends-washington-coast-visitors-scrambling-washington/281-152555ff-90af-4b6a-97a5-39d6c79bb286","Tsunami advisory sends Washington coast visitors scrambling",-2,1,-2
"KING 5","https://www.king5.com/article/news/local/washington-state-troopers-speed-cameras-cite-262-drivers/281-debeaabc-38c7-4bfa-ae10-70c585c0dc9f","State troopers use speed cameras to fine 262 drivers in work zones",2,1,2
"KING 5","https://www.king5.com/article/news/local/wildfire/bear-gulch-fire/281-ccd1ae03-b524-46c5-819f-15f348c6d425","Bear Gulch fire spreads to 4,500 acres, one of several active wildfires in Washington",1,4,0.25
"KING 5","https://www.king5.com/article/news/local/wildfire/hoodsport-volunteers-tourists-be-bear-gulch-fire/281-9227d0cc-9af2-4bd0-9a94-fbb46a93561f","Hoodsport volunteers fear tourists will be scared off by Bear Gulch fire",-8,4,-2
"KING 5","https://www.king5.com/article/news/local/youth-counselor-auburn-sentenced-manufacturing-fentanyl-pills/281-c99a04b8-5a8c-4c79-ba22-ade55a148464","At-risk youth counselor from Auburn sentenced to prison for manufacturing fentanyl pills",-13,6,-2.16666666666667
"KING 5","https://www.king5.com/article/news/politics/elections/tacoma-mayoral-race-candidates-primary-election/281-27a7f549-e88b-4b3e-8f6a-e07b5d9c693d","Tacoma mayoral race: Six candidates vie to become mayor in primary election",-1,1,-1
