"source","url","title","sentiment_score","word_count","avg_sentiment","matched_keywords","candidate","article_order"
"Capitol Hill Seattle","https://www.capitolhillseattle.com/2025/08/here-is-where-seattle-mayor-and-police-want-new-real-time-crime-center-cameras-on-capitol-hill-and-in-the-central-district/","CHS Capitol Hill Seattle News Here is where Seattle mayor and police want new ‘Real Time Crime Center’ cameras on Capitol Hill and in the Central District LATEST CHS SUBSCRIBER TOTAL: 1,236",-34,45,-0.755555555555556,"['mayor', 'city council', 'harrell', 'bruce', 'bruce harrell', 'budget', 'public safety', 'police', 'SPD', 'policy', 'legislation', 'mayor (title)', 'police (title)']","Harrell",16
"Capitol Hill Seattle","https://www.capitolhillseattle.com/2025/08/here-is-where-seattle-mayor-and-police-want-new-real-time-crime-center-cameras-on-capitol-hill-and-in-the-central-district/","Here is where Seattle mayor and police want new ‘Real Time Crime Center’ cameras on Capitol Hill and in the Central District",-6,2,-3,"['mayor', 'city council', 'harrell', 'bruce', 'bruce harrell', 'budget', 'public safety', 'police', 'SPD', 'policy', 'legislation', 'mayor (title)', 'police (title)']","Harrell",18
"KIRO 7","https://www.kiro7.com/livestudio/","LIVE STUDIO: Jesse Jones talks Temu lawsuits LIVE STUDIO: Jesse Jones investigates car recalls LIVE STUDIO: Jesse Jones investigates gig workers LIVE STUDIO: Ozempic fraud on the rise LIVE STUDIO: Spotting fake coupons LIVE STUDIO: Booster seats are getting safer for kids LIVE STUDIO: How to avoid rental scams KIRO 7 Live Desk: Joy Hollingsworth on Joining Seattle City Council LIVE STUDIO: Youth fentanyl exposure cases KIRO 7 Live Studio: Bloodworks NW talks about current blood donation shortages LIVE STUDIO: Dr. Jim Boonyaratana discusses respiratory illnesses KIRO 7 Live Studio: How to avoid post-holiday gloom LIVE STUDIO: How to better your financial wellness KIRO 7 Live Studio: New Year's Eve celebration at the space needle LIVE STUDIO: How to get your New Year's resolutions to stick KIRO 7 Live Studio: Seattle Men's Chorus holiday concert LIVE STUDIO: Rep. Smith on Israel-Hamas war KIRO 7 Live Studio: Crafty's handmade holidays starts next week LIVE STUDIO: Siff Cinema downtown opens Thursday KIRO 7 Live Studio: A look at the Seattle Christmas Market LIVE STUDIO: Social security clawbacks hit million more people than agency chief told congress LIVE STUDIO: Holiday Magic returns to downtown Seattle LIVE STUDIO: Zelle's new policy concerning 'Imposter Scams' KIRO 7 Live Studio: What to expect for holiday travel LIVE STUDIO: Avoiding Zillow scams and claiming your home LIVE STUDIO: State of Thurston County Sheriff's Office LIVE STUDIO: Flooded tenant relived after agreement reached with landlord LIVE STUDIO: Reformed scammer talks to Jesse Jones LIVE STUDIO: PeaceHealth allegedly violated state laws in multiple ways LIVE STUDIO: Seattle ranked worst city for holiday shopping LIVE STUDIO: Teens & mental health LIVE STUDIO: Parents of Murdered Children on support for families LIVE STUDIO: Seattle City Attorney on Kia/Hyundai lawsuit LIVE STUDIO: King County prosecutor on repeat offenders LIVE STUDIO: Initiative to help manage student loan debt KIRO 7 Live Studio: Helping kids stay motivated in school LIVE STUDIO: Update on health 99 overdose response team LIVE STUDIO: Medical debt relief LIVE STUDIO: KEXP diverse voices LIVE STUDIO: Inflation savings LIVE STUDIO: Jesse investigates Social Security overpayments LIVE STUDIO: Vaccines to prevent overdose LIVE STUDIO: Marco Gonzalez Interview Jesse Jones: Woman breaks tooth on a bite of WinCo chicken salad LIVE STUDIO: Staying healthy this fall LIVE STUDIO: Teens now getting scammed more than elderly LIVE STUDIO: Back to school and our child's health. LIVE STUDIO: Watch out for debt relief scams Live Studio: DNR Head Hilary Franz Puyallup students go back to school with bell schedule, bus route changes Live Studio: Guest Steve Severin, Bumbershoot. LIVE STUDIO: ATM fees hit another record high LIVE STUDIO: Rep. Strickland gives congressional update LIVE STUDIO: 'Saturn' app safety concerns LIVE STUDIO: Backpack Brigade LIVE STUDIO: Student loan payment approaching LIVE STUDIO: Rep. Smith talks mental health in memoir Latest Trending Defendant profanely tells judge that he made mistake; appeals court agrees Paris Jackson, Justin Long end engagement Man impersonates police officer to grab free cup of coffee Paula Deen announces shuttering of 2 Savannah restaurants Teen dies after being swept into drainage pipe during flooding in Maryland",-24,33,-0.727272727272727,"['city council', 'gonzalez', 'policy', 'city council (title)', 'gonzalez (title)', 'chan (title)', 'policy (title)']","Gonzalez",104
"KIRO 7","https://www.kiro7.com/livestudio/","LIVE STUDIO: Jesse Jones talks Temu lawsuits LIVE STUDIO: Jesse Jones investigates car recalls LIVE STUDIO: Jesse Jones investigates gig workers LIVE STUDIO: Ozempic fraud on the rise LIVE STUDIO: Spotting fake coupons LIVE STUDIO: Booster seats are getting safer for kids LIVE STUDIO: How to avoid rental scams KIRO 7 Live Desk: Joy Hollingsworth on Joining Seattle City Council LIVE STUDIO: Youth fentanyl exposure cases KIRO 7 Live Studio: Bloodworks NW talks about current blood donation shortages LIVE STUDIO: Dr. Jim Boonyaratana discusses respiratory illnesses KIRO 7 Live Studio: How to avoid post-holiday gloom LIVE STUDIO: How to better your financial wellness KIRO 7 Live Studio: New Year's Eve celebration at the space needle LIVE STUDIO: How to get your New Year's resolutions to stick KIRO 7 Live Studio: Seattle Men's Chorus holiday concert LIVE STUDIO: Rep. Smith on Israel-Hamas war KIRO 7 Live Studio: Crafty's handmade holidays starts next week LIVE STUDIO: Siff Cinema downtown opens Thursday KIRO 7 Live Studio: A look at the Seattle Christmas Market LIVE STUDIO: Social security clawbacks hit million more people than agency chief told congress LIVE STUDIO: Holiday Magic returns to downtown Seattle LIVE STUDIO: Zelle's new policy concerning 'Imposter Scams' KIRO 7 Live Studio: What to expect for holiday travel LIVE STUDIO: Avoiding Zillow scams and claiming your home LIVE STUDIO: State of Thurston County Sheriff's Office LIVE STUDIO: Flooded tenant relived after agreement reached with landlord LIVE STUDIO: Reformed scammer talks to Jesse Jones LIVE STUDIO: PeaceHealth allegedly violated state laws in multiple ways LIVE STUDIO: Seattle ranked worst city for holiday shopping LIVE STUDIO: Teens & mental health LIVE STUDIO: Parents of Murdered Children on support for families LIVE STUDIO: Seattle City Attorney on Kia/Hyundai lawsuit LIVE STUDIO: King County prosecutor on repeat offenders LIVE STUDIO: Initiative to help manage student loan debt KIRO 7 Live Studio: Helping kids stay motivated in school LIVE STUDIO: Update on health 99 overdose response team LIVE STUDIO: Medical debt relief LIVE STUDIO: KEXP diverse voices LIVE STUDIO: Inflation savings LIVE STUDIO: Jesse investigates Social Security overpayments LIVE STUDIO: Vaccines to prevent overdose LIVE STUDIO: Marco Gonzalez Interview Jesse Jones: Woman breaks tooth on a bite of WinCo chicken salad LIVE STUDIO: Staying healthy this fall LIVE STUDIO: Teens now getting scammed more than elderly LIVE STUDIO: Back to school and our child's health. LIVE STUDIO: Watch out for debt relief scams Live Studio: DNR Head Hilary Franz Puyallup students go back to school with bell schedule, bus route changes Live Studio: Guest Steve Severin, Bumbershoot. LIVE STUDIO: ATM fees hit another record high LIVE STUDIO: Rep. Strickland gives congressional update LIVE STUDIO: 'Saturn' app safety concerns LIVE STUDIO: Backpack Brigade LIVE STUDIO: Student loan payment approaching LIVE STUDIO: Rep. Smith talks mental health in memoir Latest Trending Josh Brolin says he has ‘trepidation’ about ‘The Goonies’ sequel Ricochet nets pro golfer hole-in-one at AIG Women’s Open United Airlines pilot declares mayday after takeoff Gary Busey pleads guilty to criminal sexual contact; admitted to touching woman inappropriately Whale dies after collision with boat at Jersey Shore",-32,35,-0.914285714285714,"['city council', 'gonzalez', 'policy', 'city council (title)', 'gonzalez (title)', 'chan (title)', 'policy (title)']","Gonzalez",106
"KIRO 7","https://www.kiro7.com/news/local/","Local Washington Primary Election: Seattle City Attorney Everything you need to know for the Aug. 5 Washington Primary Election Two arrested following crash after road rage shooting in West Seattle Rolled semi blocks I-5 offramp in Seattle Woodinville siblings give student athletes a reason to smile through nonprofit Washington Primary Election: King County Executive race Tolls are coming for new SR 509 Expressway to Sea-Tac Airport Seattle gears up for driverless cars Whitney’s Law: Petition to change AMBER Alert system after death of Decker girls Microsoft CTO sells Bellevue waterfront mansion in one of 2025’s top sales Kopachuck State Park reopens after year-long closure. Here’s what’s changed. East Creek Fire closes several Whatcom County trails VIDEO: Bakeshop bounces back after fire VIDEO: Police chief responds to violence in Seattle VIDEO: Double amputee from Gaza arrives in Seattle VIDEO: 104 tiny homes added in Seattle VIDEO: Free admission to National Parks today VIDEO: Seattle bar to reopen after fire causes damage VIDEO: 2025 Primary Election ballots due Tuesday Washington saw biggest construction job loss in U.S. over past year WA businesses: Americans will end up paying for tariffs Microsoft lists dishwashers, roofers among jobs least threatened by AI Howard Schultz encourages Starbucks workers to support new leadership’s plan Amazon cites AI for Q2 profit jump Lanes reopened on SB I-405 in Bellevue after collision halts traffic during Monday morning commute VIDEO: Vigil for man killed outside of a U-District church VIDEO: Student loan interest resumes VIDEO: 12-year-old killed by brain eating amoeba VIDEO: Red Cross donation center opens VIDEO: Manhunt for two separate attacks Latest Trending Josh Brolin says he has ‘trepidation’ about ‘The Goonies’ sequel Ricochet nets pro golfer hole-in-one at AIG Women’s Open United Airlines pilot declares mayday after takeoff Gary Busey pleads guilty to criminal sexual contact; admitted to touching woman inappropriately Whale dies after collision with boat at Jersey Shore",-36,27,-1.33333333333333,"['election', 'davison', 'ann davison', 'police', 'parks', 'election (title)', 'chan (title)', 'police (title)', 'parks (title)']","Davison",141
"KIRO 7","https://www.kiro7.com/news/local/wa-businesses-americans-will-end-up-paying-tariffs/LH7KHF6F7JDDBEGMCGLXEPLVY4/","WA businesses: Americans will end up paying for tariffs",0,15,0,"['nelson', 'policy']","Nelson",184
"KIRO 7","https://www.kiro7.com/news/local/washington-primary-election-seattle-city-attorney/AVLO3JNZKNBGPB632BXC6AEYTI/","Washington Primary Election: Seattle City Attorney",-13,100,-0.13,"['city council', 'councilmember', 'election', 'candidate', 'davison', 'juarez', 'lewis', 'morales', 'herbold', 'ann davison', 'housing', 'homelessness', 'public safety', 'police', 'election (title)']","Davison",187
"KIRO 7","https://www.kiro7.com/news/local/woodinville-siblings-give-student-athletes-reason-smile-through-nonprofit/JWU537Q6OZHILOKPOASKR7JJMY/","Woodinville siblings give student athletes a reason to smile through nonprofit",19,24,0.791666666666667,"['mayor', 'harrell', 'bruce', 'bruce harrell']","Harrell",190
"KIRO 7","https://www.kiro7.com/sports/wnba/seattle-storm/","Seattle Storm Storm’s Skylar Diggins records first triple-double in WNBA All-Star Game history Seattle Storm sign veteran guard Tiffany Mitchell Storm’s Skylar Diggins, Gabby Williams selected as WNBA All-Stars Seattle Storm prepares for matchup with Golden State Valkyries Seattle Storm torch Aces with season-best shooting, extend win streak to three Dominique Malonga eager to prove growth of French basketball as WNBA’s No. 2 pick overall to Storm Katie Lou Samuelson signs with Seattle Storm, agent says Storm coach Noelle Quinn says she learned from bullying investigation and is ready to move on Seattle Storm sign 10-year veteran Erica Wheeler Two-time Olympian Gabby Williams returns to Seattle Storm Kelsey Plum headed to Los Angeles and Jewell Loyd to Las Vegas in blockbuster 3-way deal: AP source Atlanta and Seattle to play first WNBA regular season game in Canada in August Loyd requests trade from Seattle after investigation into Storm shows no bullying, AP Source says Bird, Fowles, Pondexter, Beard headline Women’s Basketball Hall of Fame Class of 2025 Seattle Storm tops the WNBA as most valuable franchise Street to be renamed ‘Sue Bird Court’ to honor basketball legend Aces close out Storm 83-76 and will make their sixth consecutive WNBA semifinal appearance Nneka Ogwumike scores 17, Storm spoil Diana Taurasi’s night with 89-70 win over Mercury Wilson scores 21, sets rebounding mark and Las Vegas Aces defeat Seattle Storm 85-72 Skylar Diggins-Smith hits clutch free throws and Storm edge Sparks 90-87 Loyd scores 20, Horston 16 as Storm hit 12 3s, beats Mercury 90-66 Laney-Hamilton returns to starting lineup, helps Liberty to 77-70 win over Storm Diggins-Smith scores 18, Loyd adds 17, Storm grab key win over Sun 71-64 Breanna Stewart scores 32 points, Sabrina Ionescu adds 25 as Liberty defeat Storm 98-85 Jewell Loyd hits go-ahead 3 as Storm beat Dream 85-81 Ogwumike scores 24 and Magbegor has 14 rebounds as Storm hold off Mystics 83-77 Gabby Williams re-signs with the Seattle Storm after stellar Olympics Caitlin Clark breaks WNBA rookie assists record as Fever beat Storm 92-75 Sue Bird Barbie: Mattel honors WNBA great with signature doll Loyd and Ogwumike combine to score 20 of Seattle’s 25 fourth-quarter points in 89-83 win over Sparks Latest Trending Defendant profanely tells judge that he made mistake; appeals court agrees Paris Jackson, Justin Long end engagement Man impersonates police officer to grab free cup of coffee Paula Deen announces shuttering of 2 Savannah restaurants Teen dies after being swept into drainage pipe during flooding in Maryland",28,23,1.21739130434783,"['wilson', 'wilson (title)', 'parks (title)']","Wilson",390
"KIRO 7","https://www.kiro7.com/sports/wnba/seattle-storm/","Seattle Storm Storm’s Skylar Diggins records first triple-double in WNBA All-Star Game history Seattle Storm sign veteran guard Tiffany Mitchell Storm’s Skylar Diggins, Gabby Williams selected as WNBA All-Stars Seattle Storm prepares for matchup with Golden State Valkyries Seattle Storm torch Aces with season-best shooting, extend win streak to three Dominique Malonga eager to prove growth of French basketball as WNBA’s No. 2 pick overall to Storm Katie Lou Samuelson signs with Seattle Storm, agent says Storm coach Noelle Quinn says she learned from bullying investigation and is ready to move on Seattle Storm sign 10-year veteran Erica Wheeler Two-time Olympian Gabby Williams returns to Seattle Storm Kelsey Plum headed to Los Angeles and Jewell Loyd to Las Vegas in blockbuster 3-way deal: AP source Atlanta and Seattle to play first WNBA regular season game in Canada in August Loyd requests trade from Seattle after investigation into Storm shows no bullying, AP Source says Bird, Fowles, Pondexter, Beard headline Women’s Basketball Hall of Fame Class of 2025 Seattle Storm tops the WNBA as most valuable franchise Street to be renamed ‘Sue Bird Court’ to honor basketball legend Aces close out Storm 83-76 and will make their sixth consecutive WNBA semifinal appearance Nneka Ogwumike scores 17, Storm spoil Diana Taurasi’s night with 89-70 win over Mercury Wilson scores 21, sets rebounding mark and Las Vegas Aces defeat Seattle Storm 85-72 Skylar Diggins-Smith hits clutch free throws and Storm edge Sparks 90-87 Loyd scores 20, Horston 16 as Storm hit 12 3s, beats Mercury 90-66 Laney-Hamilton returns to starting lineup, helps Liberty to 77-70 win over Storm Diggins-Smith scores 18, Loyd adds 17, Storm grab key win over Sun 71-64 Breanna Stewart scores 32 points, Sabrina Ionescu adds 25 as Liberty defeat Storm 98-85 Jewell Loyd hits go-ahead 3 as Storm beat Dream 85-81 Ogwumike scores 24 and Magbegor has 14 rebounds as Storm hold off Mystics 83-77 Gabby Williams re-signs with the Seattle Storm after stellar Olympics Caitlin Clark breaks WNBA rookie assists record as Fever beat Storm 92-75 Sue Bird Barbie: Mattel honors WNBA great with signature doll Loyd and Ogwumike combine to score 20 of Seattle’s 25 fourth-quarter points in 89-83 win over Sparks Latest Trending Josh Brolin says he has ‘trepidation’ about ‘The Goonies’ sequel Ricochet nets pro golfer hole-in-one at AIG Women’s Open United Airlines pilot declares mayday after takeoff Gary Busey pleads guilty to criminal sexual contact; admitted to touching woman inappropriately Whale dies after collision with boat at Jersey Shore",20,25,0.8,"['wilson', 'wilson (title)', 'parks (title)']","Wilson",392
