"source","articles","avg_sentiment"
"Capitol Hill Seattle",29,0.0464430580809442
"KING 5",45,-1.28012345679012
"KIRO 7",219,-0.482024551600945
"KOMO News",39,-0.984138012756463
"KUOW (All Things Considered)",11,-0.424242424242424
"KUOW (Morning Edition)",6,0.0833333333333333
"KUOW (Weekend Edition Sat)",6,-0.277777777777778
"KUOW (Weekend Edition Sun)",11,-0.386363636363636
"Seattle Times",15,0.431433301721705
"Seattle Times (Simple)",58,0.0582510072961683
"Seattle Times RSS",8,-1.60416666666667
"The Stranger",69,-0.259708342338176
"The Stranger (Web)",66,-0.261866474388573
